run,seed,regime,step,readout_input,population,feature_mean_norm,dc_spectral_power,total_spectral_power,dc_power_fraction,checkpoint,source_csv,source_row,training_backend,measurement_backend
seed2_muon,2,muon,50000,layer_1_post_block_residual,"full operand grid, uniform113x113",4242.802426918234,229859524608.0,252625027072.0,0.9098842156382564,checkpoints/seedstudy_muon_seed_2/step_050000.pt,runs/seedstudy_fourier_mode_layer_summary.csv,367,CPU reported in repository README; runtime manifest unavailable,"CPU, float32 orthonormal2D FFT per source"
seed2_muon,2,muon,75000,layer_1_post_block_residual,"full operand grid, uniform113x113",1076.1925629057278,14788933632.0,55647645696.0,0.2657602751568525,checkpoints/seedstudy_muon_seed_2/step_075000.pt,runs/seedstudy_fourier_mode_layer_summary.csv,373,CPU reported in repository README; runtime manifest unavailable,"CPU, float32 orthonormal2D FFT per source"
seed2_muon,2,muon,89000,layer_1_post_block_residual,"full operand grid, uniform113x113",17619.62285694883,3964150218752.0,4227249209344.0,0.9377611828490167,checkpoints/seedstudy_muon_seed_2/step_089000.pt,runs/seedstudy_fourier_mode_layer_summary.csv,379,CPU reported in repository README; runtime manifest unavailable,"CPU, float32 orthonormal2D FFT per source"
seed2_muon,2,muon,100000,layer_1_post_block_residual,"full operand grid, uniform113x113",2158.9266111797,59515850752.0,142363869184.0,0.4180544620846036,checkpoints/seedstudy_muon_seed_2/step_100000.pt,runs/seedstudy_fourier_mode_layer_summary.csv,385,CPU reported in repository README; runtime manifest unavailable,"CPU, float32 orthonormal2D FFT per source"
seed2_adamw_stable,2,adamw,0,layer_1_post_block_residual,"full operand grid, uniform113x113",18.383498339516272,4315322.0,4374278.5,0.9865220058576517,checkpoints/seedstudy_adamw_stable_seed_2/step_000000.pt,runs/seedstudy_fourier_mode_layer_summary.csv,445,CPU reported in repository README; runtime manifest unavailable,"CPU, float32 orthonormal2D FFT per source"
seed2_adamw_stable,2,adamw,4000,layer_1_post_block_residual,"full operand grid, uniform113x113",29.96040669189957,11461786.0,47636164.0,0.24061101981259447,checkpoints/seedstudy_adamw_stable_seed_2/step_004000.pt,runs/seedstudy_fourier_mode_layer_summary.csv,451,CPU reported in repository README; runtime manifest unavailable,"CPU, float32 orthonormal2D FFT per source"
seed2_adamw_stable,2,adamw,22000,layer_1_post_block_residual,"full operand grid, uniform113x113",156.02736757195996,310855424.0,411960320.0,0.7545761300505835,checkpoints/seedstudy_adamw_stable_seed_2/step_022000.pt,runs/seedstudy_fourier_mode_layer_summary.csv,457,CPU reported in repository README; runtime manifest unavailable,"CPU, float32 orthonormal2D FFT per source"
seed2_adamw_stable,2,adamw,23000,layer_1_post_block_residual,"full operand grid, uniform113x113",46.117879381569445,27157860.0,113021672.0,0.2402889598023289,checkpoints/seedstudy_adamw_stable_seed_2/step_023000.pt,runs/seedstudy_fourier_mode_layer_summary.csv,463,CPU reported in repository README; runtime manifest unavailable,"CPU, float32 orthonormal2D FFT per source"
seed2_adamw_stable,2,adamw,25000,layer_1_post_block_residual,"full operand grid, uniform113x113",58.89083122481326,44284552.0,137885136.0,0.3211698757725416,checkpoints/seedstudy_adamw_stable_seed_2/step_025000.pt,runs/seedstudy_fourier_mode_layer_summary.csv,469,CPU reported in repository README; runtime manifest unavailable,"CPU, float32 orthonormal2D FFT per source"
seed2_adamw_stable,2,adamw,50000,layer_1_post_block_residual,"full operand grid, uniform113x113",82.94918322803885,87857960.0,251141280.0,0.34983480214801804,checkpoints/seedstudy_adamw_stable_seed_2/step_050000.pt,runs/seedstudy_fourier_mode_layer_summary.csv,475,CPU reported in repository README; runtime manifest unavailable,"CPU, float32 orthonormal2D FFT per source"
seed2_adamw_stable,2,adamw,75000,layer_1_post_block_residual,"full operand grid, uniform113x113",79.03196524857374,79755832.0,284512896.0,0.2803241368714619,checkpoints/seedstudy_adamw_stable_seed_2/step_075000.pt,runs/seedstudy_fourier_mode_layer_summary.csv,481,CPU reported in repository README; runtime manifest unavailable,"CPU, float32 orthonormal2D FFT per source"
seed2_adamw_stable,2,adamw,100000,layer_1_post_block_residual,"full operand grid, uniform113x113",114.71178100383985,168024624.0,451584704.0,0.3720777575318406,checkpoints/seedstudy_adamw_stable_seed_2/step_100000.pt,runs/seedstudy_fourier_mode_layer_summary.csv,487,CPU reported in repository README; runtime manifest unavailable,"CPU, float32 orthonormal2D FFT per source"
