cohort,seed,checkpoint,method,fit,regularization,validation_cross_entropy,converged,status,message,iterations,function_evaluations,iteration_limit,function_evaluation_limit,initial_objective,final_objective,gradient_infinity_norm,gradient_l2_norm
prospective_cpu,3,failed,cv_selected,candidate,0.01,0.8545714429942263,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,17,21,500,1500,4.727387818712339,1.116055497975398,8.568034460566809e-08,7.682015845897628e-07
prospective_cpu,3,failed,cv_selected,refit,1e-06,,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,77,80,1000,3000,4.72738781871234,0.0013892172543245927,8.878547735919824e-08,1.0860616083976495e-06
prospective_cpu,3,previous,unregularized_control,candidate,0.0,3.0979808356882162e-06,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,14,17,500,1500,4.727387818712339,2.2272404438968007e-06,9.357201490428185e-08,1.9429322854570333e-06
prospective_cpu,3,previous,unregularized_control,candidate,1e-08,3.2840364172580364e-06,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,14,17,500,1500,4.727387818712339,4.356532343948322e-06,9.042537245683346e-08,1.8585719957859871e-06
prospective_cpu,3,previous,unregularized_control,candidate,1e-06,2.7321115294171367e-05,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,13,16,500,1500,4.727387818712339,0.00017285929156100324,7.002659833231087e-08,8.227104964853298e-07
prospective_cpu,3,previous,unregularized_control,candidate,0.0001,0.001674438250917195,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,17,21,500,1500,4.727387818712339,0.009339023512797116,1.2388074244694288e-08,1.5353027851748284e-07
prospective_cpu,3,previous,unregularized_control,candidate,0.01,0.097858880522614,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,15,19,500,1500,4.727387818712339,0.39712416324631844,6.422997890648139e-08,6.96494952237607e-07
prospective_cpu,3,previous,unregularized_control,refit,0.0,,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,14,17,1000,3000,4.72738781871234,2.202494507939344e-06,9.191767976571836e-08,1.9165608994038252e-06
prospective_cpu,3,failed,unregularized_control,candidate,0.0,0.9712106430157967,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,28,31,500,1500,4.727387818712339,9.889011780515077e-07,6.79357453454699e-08,6.823781750909496e-07
prospective_cpu,3,failed,unregularized_control,refit,0.0,,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,27,29,1000,3000,4.72738781871234,1.7583906720552515e-06,5.70454863235819e-08,1.0219564321893608e-06
prospective_cpu,4,previous,cv_selected,candidate,0.0,0.8311832745243364,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,23,27,500,1500,4.727387818712339,9.032485964644017e-07,8.201674947140621e-08,1.1574062279495103e-06
prospective_cpu,4,previous,cv_selected,candidate,1e-08,0.3999234175660266,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,40,46,500,1500,4.727387818712339,8.602116627995208e-06,7.99641679450341e-08,7.950056949100084e-07
prospective_cpu,4,previous,cv_selected,candidate,1e-06,0.19371607537168808,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,73,80,500,1500,4.727387818712339,0.00035222144487214227,9.07889434307844e-08,1.0136351355850054e-06
prospective_cpu,4,previous,cv_selected,candidate,0.0001,0.13059468720850553,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,58,64,500,1500,4.727387818712339,0.014084988489790375,5.666157438428908e-08,7.584634248554265e-07
prospective_cpu,4,previous,cv_selected,candidate,0.01,0.1879714756652743,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,17,20,500,1500,4.727387818712339,0.4341516650024615,8.948823168402308e-08,1.3622679367861586e-06
prospective_cpu,4,previous,cv_selected,refit,0.0001,,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,59,66,1000,3000,4.72738781871234,0.014316316945708507,6.117734870704523e-08,7.408682627915431e-07
prospective_cpu,4,failed,cv_selected,candidate,0.0,1884.189658210191,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,63,67,500,1500,4.727387818712339,3.818950064817445e-06,9.421172309567212e-08,1.2955943149879907e-06
prospective_cpu,4,failed,cv_selected,candidate,1e-08,239.61063243197842,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,500,502,500,1500,4.727387818712339,0.013550954868477835,5.495111898088667e-06,4.3122345025282783e-05
prospective_cpu,4,failed,cv_selected,candidate,1e-06,100.26478152912124,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,500,512,500,1500,4.727387818712339,0.3290802396859261,4.347300601249349e-06,4.472897424821898e-05
prospective_cpu,4,failed,cv_selected,candidate,0.0001,15.11575392725553,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,110,115,500,1500,4.727387818712339,1.580364416398816,7.628001004152465e-08,1.6278784550156508e-06
prospective_cpu,4,failed,cv_selected,candidate,0.01,5.198230439299026,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,12,15,500,1500,4.727387818712339,3.6595816914114336,5.9183529322118233e-08,8.961957888582363e-07
prospective_cpu,4,failed,cv_selected,refit,0.01,,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,12,13,1000,3000,4.72738781871234,3.8576281532910026,9.449157699304919e-08,6.628627181942331e-07
prospective_cpu,4,previous,unregularized_control,candidate,0.0,0.8311832745243364,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,23,27,500,1500,4.727387818712339,9.032485964644017e-07,8.201674947140621e-08,1.1574062279495103e-06
prospective_cpu,4,previous,unregularized_control,refit,0.0,,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,24,29,1000,3000,4.72738781871234,6.613153223235378e-07,9.058710164402253e-08,9.181633684534579e-07
prospective_cpu,4,failed,unregularized_control,candidate,0.0,1884.189658210191,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,63,67,500,1500,4.727387818712339,3.818950064817445e-06,9.421172309567212e-08,1.2955943149879907e-06
prospective_cpu,4,failed,unregularized_control,refit,0.0,,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,1000,1015,1000,3000,4.72738781871234,1.8484796386642266,4.962417004925982e-05,0.0005509900903717814
