step,is_reference,is_detected_collapse,train_accuracy,test_accuracy,diagonal_only_train_accuracy,diagonal_only_test_accuracy,off_diagonal_only_train_accuracy,off_diagonal_only_test_accuracy,full_test_mean_margin,diagonal_test_mean_margin,off_diagonal_test_mean_margin,hidden_non_dc_diagonal_power_fraction,sum_explained_hidden_variance,top_frequency_pairs,current_hidden_reference_readout_test_accuracy,reference_hidden_current_readout_test_accuracy,current_diagonal_reference_readout_test_accuracy,reference_diagonal_current_readout_test_accuracy,relative_unembedding_drift,relative_diagonal_hidden_drift,diagonal_pair_power_cosine_similarity_to_reference,top_frequency_jaccard_to_reference,diagonal_logit_cosine_similarity_to_reference,full_logit_cosine_similarity_to_reference,diagonal_correct_full_wrong_fraction,mean_off_diagonal_interference_advantage_on_rescued_errors
44330,0,0,1.0,1.0,1.0,1.0,0.015143603086471558,0.01610918529331684,15.558023452758789,17.2379093170166,-6.921034336090088,0.22471685707569122,0.22471678256988525,12|11|7|56|47,0.42543908953666687,0.04676138237118721,0.44132453203201294,0.02617742493748665,0.31327274441719055,0.5521947741508484,0.9917109608650208,1.0,0.9790071845054626,0.9757497310638428,0.0,0.0
44340,0,0,1.0,1.0,1.0,1.0,0.016710182651877403,0.016332922503352165,15.563302040100098,17.25053596496582,-6.955991744995117,0.22382186353206635,0.22382158041000366,12|11|7|56|47,0.4285714328289032,0.05011746287345886,0.44982659816741943,0.02617742493748665,0.30914169549942017,0.5454501509666443,0.9921494126319885,1.0,0.980315089225769,0.977209746837616,0.0,0.0
44350,0,0,1.0,1.0,1.0,1.0,0.016971278935670853,0.016332922503352165,15.56778621673584,17.264318466186523,-6.991074562072754,0.22286875545978546,0.22286885976791382,12|11|7|56|47,0.4333817958831787,0.05515158176422119,0.4588880240917206,0.02617742493748665,0.3049275279045105,0.5383418202400208,0.9925625324249268,1.0,0.981580376625061,0.9786353707313538,0.0,0.0
44360,0,0,1.0,1.0,1.0,1.0,0.016449086368083954,0.015773575752973557,15.571979522705078,17.277435302734375,-7.023313999176025,0.22186696529388428,0.22186702489852905,12|11|7|56|47,0.4380803108215332,0.059961963444948196,0.4588880240917206,0.03512697294354439,0.3006090223789215,0.530909538269043,0.9929518103599548,1.0,0.9828283190727234,0.9800095558166504,0.0,0.0
44370,0,0,1.0,1.0,1.0,1.0,0.015404699370265007,0.015326099470257759,15.577911376953125,17.291980743408203,-7.053797721862793,0.2208874225616455,0.22088706493377686,12|11|7|56|47,0.44143640995025635,0.06488421559333801,0.46794942021369934,0.03512697294354439,0.2961530089378357,0.5232378244400024,0.9933378100395203,1.0,0.9840225577354431,0.9813318848609924,0.0,0.0
44380,0,0,1.0,1.0,1.0,1.0,0.014621409587562084,0.014654883183538914,15.581753730773926,17.306123733520508,-7.084680080413818,0.2200041115283966,0.2200039029121399,12|11|7|56|47,0.4468061327934265,0.07036581635475159,0.46794942021369934,0.04418838769197464,0.29153478145599365,0.5154098868370056,0.9937148690223694,1.0,0.9851575493812561,0.9825827479362488,0.0,0.0
44390,0,0,1.0,1.0,1.0,1.0,0.014621409587562084,0.014654883183538914,15.585737228393555,17.32038116455078,-7.112372875213623,0.2192346602678299,0.2192344069480896,12|11|7|56|47,0.45486071705818176,0.07696610689163208,0.46794942021369934,0.05369728058576584,0.2867569625377655,0.5076104998588562,0.9940629601478577,1.0,0.9862304329872131,0.9837602376937866,0.0,0.0
44400,0,0,1.0,1.0,1.0,1.0,0.014360313303768635,0.014319275505840778,15.588444709777832,17.33443832397461,-7.137735366821289,0.21851187944412231,0.21851211786270142,12|11|7|56|47,0.4611254036426544,0.08345452696084976,0.46794942021369934,0.05369728058576584,0.28176411986351013,0.4997926652431488,0.9943853616714478,1.0,0.9872634410858154,0.9848766922950745,0.0,0.0
44410,0,0,1.0,1.0,1.0,1.0,0.013315927237272263,0.013983666896820068,15.590761184692383,17.345844268798828,-7.164841651916504,0.21774522960186005,0.2177453637123108,12|11|7|56|47,0.4697393476963043,0.09094977378845215,0.46794942021369934,0.05369728058576584,0.27661585807800293,0.49163737893104553,0.9947054982185364,1.0,0.9882324934005737,0.9859538674354553,0.0,0.0
44420,0,0,1.0,1.0,1.0,1.0,0.013838119804859161,0.013871797360479832,15.591867446899414,17.35707664489746,-7.197530746459961,0.21687732636928558,0.21687722206115723,12|11|7|56|47,0.4808143973350525,0.09844501316547394,0.49390313029289246,0.05369728058576584,0.2713262736797333,0.48290303349494934,0.9950425028800964,1.0,0.9891780614852905,0.9870014786720276,0.0,0.0
44430,0,0,1.0,1.0,1.0,1.0,0.013838119804859161,0.013983666896820068,15.592652320861816,17.37046241760254,-7.2332940101623535,0.21590043604373932,0.21590054035186768,12|11|7|56|47,0.49009954929351807,0.10840138792991638,0.49390313029289246,0.06275869905948639,0.2659161388874054,0.4735700786113739,0.995390772819519,1.0,0.9900754690170288,0.9880179762840271,0.0,0.0
44440,0,0,1.0,1.0,1.0,1.0,0.014099217019975185,0.013983666896820068,15.59469223022461,17.38538932800293,-7.270499229431152,0.21478576958179474,0.21478557586669922,12|11|7|56|47,0.4989372491836548,0.11925271153450012,0.5028526782989502,0.08166461437940598,0.2603733241558075,0.4636511206626892,0.9957452416419983,1.0,0.9909405708312988,0.9890062212944031,0.0,0.0
44450,0,0,1.0,1.0,1.0,1.0,0.013577023521065712,0.01375992875546217,15.595019340515137,17.404476165771484,-7.313002586364746,0.21351268887519836,0.21351265907287598,12|11|7|56|47,0.508893609046936,0.1296565681695938,0.5028526782989502,0.09855688363313675,0.2546464204788208,0.4531882405281067,0.9960892200469971,1.0,0.9917778968811035,0.989957332611084,0.0,0.0
44460,0,0,1.0,1.0,1.0,1.0,0.013054830022156239,0.012529365718364716,15.593622207641602,17.42156219482422,-7.3586506843566895,0.21214883029460907,0.21214914321899414,12|11|7|56|47,0.5205280184745789,0.14397583901882172,0.5216467380523682,0.1247343122959137,0.2486509531736374,0.44227227568626404,0.9964269995689392,1.0,0.9925606846809387,0.9908586740493774,0.0,0.0
44470,0,0,1.0,1.0,1.0,1.0,0.01253263745456934,0.012641235254704952,15.590444564819336,17.436315536499023,-7.404907703399658,0.21075879037380219,0.2107587456703186,12|11|7|56|47,0.5354066491127014,0.16064436733722687,0.5301488041877747,0.1247343122959137,0.24240124225616455,0.43096786737442017,0.9967507123947144,1.0,0.9932913780212402,0.99170982837677,0.0,0.0
44480,0,0,1.0,1.0,1.0,1.0,0.01253263745456934,0.012081888504326344,15.586100578308105,17.45368194580078,-7.4517083168029785,0.2092401087284088,0.2092401385307312,12|11|7|56|47,0.5508446097373962,0.1782078593969345,0.5482715964317322,0.1247343122959137,0.23597438633441925,0.4191567003726959,0.9970599412918091,1.0,0.9939890503883362,0.9925152659416199,0.0,0.0
44490,0,0,1.0,1.0,1.0,1.0,0.012010443955659866,0.011522541753947735,15.584185600280762,17.473663330078125,-7.504323482513428,0.2075566053390503,0.20755678415298462,12|11|7|56|47,0.5678487420082092,0.19879181683063507,0.5841816663742065,0.1247343122959137,0.2293614000082016,0.4067218601703644,0.9973494410514832,1.0,0.9946372509002686,0.9932772517204285,0.0,0.0
44500,0,0,1.0,1.0,1.0,1.0,0.01279373373836279,0.011634411290287971,15.581195831298828,17.49432945251465,-7.556852340698242,0.20568375289440155,0.20568400621414185,12|11|7|56|47,0.586866557598114,0.2238505482673645,0.6109184622764587,0.15214230120182037,0.2225208431482315,0.39352670311927795,0.9976239204406738,1.0,0.9952473640441895,0.9940099120140076,0.0,0.0
44510,0,0,1.0,1.0,1.0,1.0,0.013054830022156239,0.011746279895305634,15.579241752624512,17.51740074157715,-7.611981391906738,0.20372185111045837,0.2037220001220703,12|11|7|56|47,0.6042062640190125,0.25081104040145874,0.6199798583984375,0.18749301135540009,0.215402290225029,0.37967756390571594,0.9978755116462708,1.0,0.9958189129829407,0.9946929216384888,0.0,0.0
44520,0,0,1.0,1.0,1.0,1.0,0.013577023521065712,0.011298802681267262,15.576399803161621,17.53896713256836,-7.6689043045043945,0.20175351202487946,0.20175349712371826,12|11|7|56|47,0.6289294362068176,0.28157511353492737,0.6714397668838501,0.23179326951503754,0.20794175565242767,0.3653291165828705,0.9981000423431396,1.0,0.9963411688804626,0.9953250288963318,0.0,0.0
