run,depth,regime,role,step,checkpoint,baseline_full_accuracy,requested_addition_power_threshold,control,replicate,selected_pair_count,source_pairs,control_pairs,target_selected_power,control_native_power,scale_factor,context,intervention_accuracy
depth4_matched_control,4,control,branch,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_shared/step_126200.pt,0.9407157897949219,0.9,random_native_addition_subset,0,6,"(38,38)/(75,75)|(36,36)/(77,77)|(39,39)/(74,74)|(37,37)/(76,76)|(9,9)/(104,104)|(2,2)/(111,111)","(33,33)/(80,80)|(37,37)/(76,76)|(9,9)/(104,104)|(21,21)/(92,92)|(11,11)/(102,102)|(22,22)/(91,91)",23884513408.0,2763703246.1875,1.0,addition_only,0.12389380484819412
depth4_matched_control,4,control,branch,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_shared/step_126200.pt,0.9407157897949219,0.9,equal_power_frequency_relocation,0,6,"(38,38)/(75,75)|(36,36)/(77,77)|(39,39)/(74,74)|(37,37)/(76,76)|(9,9)/(104,104)|(2,2)/(111,111)","(2,2)/(111,111)|(20,20)/(93,93)|(36,36)/(77,77)|(48,48)/(65,65)|(40,40)/(73,73)|(28,28)/(85,85)",23884513408.0,23884513408.0,1.0,addition_only,0.008849557489156723
depth4_matched_control,4,control,branch,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_shared/step_126200.pt,0.9407157897949219,0.9,random_native_addition_subset,1,6,"(38,38)/(75,75)|(36,36)/(77,77)|(39,39)/(74,74)|(37,37)/(76,76)|(9,9)/(104,104)|(2,2)/(111,111)","(10,10)/(103,103)|(14,14)/(99,99)|(5,5)/(108,108)|(38,38)/(75,75)|(27,27)/(86,86)|(35,35)/(78,78)",23884513408.0,12106315174.0,1.0,addition_only,0.2300885021686554
depth4_matched_control,4,control,branch,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_shared/step_126200.pt,0.9407157897949219,0.9,equal_power_frequency_relocation,1,6,"(38,38)/(75,75)|(36,36)/(77,77)|(39,39)/(74,74)|(37,37)/(76,76)|(9,9)/(104,104)|(2,2)/(111,111)","(30,30)/(83,83)|(6,6)/(107,107)|(3,3)/(110,110)|(12,12)/(101,101)|(37,37)/(76,76)|(52,52)/(61,61)",23884513408.0,23884513408.0,1.0,addition_only,0.008849557489156723
depth4_matched_control,4,control,branch,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_shared/step_126200.pt,0.9407157897949219,0.9,random_native_addition_subset,2,6,"(38,38)/(75,75)|(36,36)/(77,77)|(39,39)/(74,74)|(37,37)/(76,76)|(9,9)/(104,104)|(2,2)/(111,111)","(15,15)/(98,98)|(2,2)/(111,111)|(39,39)/(74,74)|(47,47)/(66,66)|(48,48)/(65,65)|(41,41)/(72,72)",23884513408.0,2948533121.0625,1.0,addition_only,0.16814158856868744
depth4_matched_control,4,control,branch,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_shared/step_126200.pt,0.9407157897949219,0.9,equal_power_frequency_relocation,2,6,"(38,38)/(75,75)|(36,36)/(77,77)|(39,39)/(74,74)|(37,37)/(76,76)|(9,9)/(104,104)|(2,2)/(111,111)","(20,20)/(93,93)|(34,34)/(79,79)|(24,24)/(89,89)|(31,31)/(82,82)|(50,50)/(63,63)|(18,18)/(95,95)",23884513408.0,23884513408.0,1.0,addition_only,0.017699114978313446
depth4_matched_control,4,control,branch,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_shared/step_126200.pt,0.9407157897949219,0.9,random_native_addition_subset,3,6,"(38,38)/(75,75)|(36,36)/(77,77)|(39,39)/(74,74)|(37,37)/(76,76)|(9,9)/(104,104)|(2,2)/(111,111)","(39,39)/(74,74)|(28,28)/(85,85)|(17,17)/(96,96)|(36,36)/(77,77)|(53,53)/(60,60)|(23,23)/(90,90)",23884513408.0,9001561953.15625,1.0,addition_only,0.14159291982650757
depth4_matched_control,4,control,branch,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_shared/step_126200.pt,0.9407157897949219,0.9,equal_power_frequency_relocation,3,6,"(38,38)/(75,75)|(36,36)/(77,77)|(39,39)/(74,74)|(37,37)/(76,76)|(9,9)/(104,104)|(2,2)/(111,111)","(15,15)/(98,98)|(35,35)/(78,78)|(47,47)/(66,66)|(53,53)/(60,60)|(1,1)/(112,112)|(19,19)/(94,94)",23884513408.0,23884513408.0,1.0,addition_only,0.008849557489156723
depth4_matched_control,4,control,branch,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_shared/step_126200.pt,0.9407157897949219,0.9,random_native_addition_subset,4,6,"(38,38)/(75,75)|(36,36)/(77,77)|(39,39)/(74,74)|(37,37)/(76,76)|(9,9)/(104,104)|(2,2)/(111,111)","(56,56)/(57,57)|(8,8)/(105,105)|(42,42)/(71,71)|(46,46)/(67,67)|(22,22)/(91,91)|(47,47)/(66,66)",23884513408.0,570258118.34375,1.0,addition_only,0.044247787445783615
depth4_matched_control,4,control,branch,126200,checkpoints/depth4_matched_freeze_seed_0_from_126200_shared/step_126200.pt,0.9407157897949219,0.9,equal_power_frequency_relocation,4,6,"(38,38)/(75,75)|(36,36)/(77,77)|(39,39)/(74,74)|(37,37)/(76,76)|(9,9)/(104,104)|(2,2)/(111,111)","(26,26)/(87,87)|(34,34)/(79,79)|(21,21)/(92,92)|(28,28)/(85,85)|(37,37)/(76,76)|(16,16)/(97,97)",23884513408.0,23884513408.0,1.0,addition_only,0.008849557489156723
