branch,step,checkpoint,alpha,accuracy,family_power_share_non_dc,native_family_share,baseline_accuracy
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,5.949999809265137,0.9991385340690613,0.9006356946166749,0.20383842843265645,0.45845407247543335
control,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_control/step_300000.pt,6.0,0.9991385340690613,0.9021234565238219,0.20383842843265645,0.45845407247543335
freeze,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_300000.pt,0.0,0.01652439497411251,0.0,0.9068512453165477,0.9888793230056763
freeze,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_300000.pt,0.05000000074505806,0.029133057221770287,0.023760490526311313,0.9068512453165477,0.9888793230056763
freeze,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_300000.pt,0.10000000149011612,0.04980812966823578,0.08871801167732825,0.9068512453165477,0.9888793230056763
freeze,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_300000.pt,0.15000000596046448,0.08230871707201004,0.17968852372476585,0.9068512453165477,0.9888793230056763
freeze,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_300000.pt,0.20000000298023224,0.13258673250675201,0.28027557223742405,0.9068512453165477,0.9888793230056763
freeze,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_300000.pt,0.25,0.19594329595565796,0.37829108841332,0.9068512453165477,0.9888793230056763
freeze,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_300000.pt,0.30000001192092896,0.27543267607688904,0.4670068048826915,0.9068512453165477,0.9888793230056763
freeze,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_300000.pt,0.3499999940395355,0.36643433570861816,0.5439206136589942,0.9068512453165477,0.9888793230056763
freeze,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_300000.pt,0.4000000059604645,0.4679301381111145,0.6090210875209329,0.9068512453165477,0.9888793230056763
freeze,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_300000.pt,0.45000001788139343,0.5612812042236328,0.6634630891873343,0.9068512453165477,0.9888793230056763
freeze,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_300000.pt,0.5,0.6558070182800293,0.7087841598331132,0.9068512453165477,0.9888793230056763
freeze,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_300000.pt,0.550000011920929,0.7321638464927673,0.7465141829492699,0.9068512453165477,0.9888793230056763
freeze,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_300000.pt,0.6000000238418579,0.7968517541885376,0.7780138844860962,0.9068512453165477,0.9888793230056763
freeze,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_300000.pt,0.6500000357627869,0.8474430441856384,0.8044299053946364,0.9068512453165477,0.9888793230056763
freeze,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_300000.pt,0.699999988079071,0.8895763158798218,0.8267018773356419,0.9068512453165477,0.9888793230056763
freeze,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_300000.pt,0.75,0.9183961153030396,0.8455891317421581,0.9068512453165477,0.9888793230056763
freeze,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_300000.pt,0.800000011920929,0.9445531964302063,0.861701392516899,0.9068512453165477,0.9888793230056763
freeze,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_300000.pt,0.8500000238418579,0.9608426690101624,0.8755276247260091,0.9068512453165477,0.9888793230056763
freeze,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_300000.pt,0.9000000357627869,0.9744694232940674,0.8874605007236945,0.9068512453165477,0.9888793230056763
freeze,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_300000.pt,0.949999988079071,0.9826141595840454,0.897816371520811,0.9068512453165477,0.9888793230056763
freeze,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_300000.pt,1.0,0.9888793230056763,0.9068512453165477,0.9068512453165477,0.9888793230056763
freeze,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_300000.pt,1.0500000715255737,0.9939697980880737,0.9147732731698998,0.9068512453165477,0.9888793230056763
freeze,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_300000.pt,1.100000023841858,0.9960059523582458,0.9217525890682047,0.9068512453165477,0.9888793230056763
freeze,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_300000.pt,1.149999976158142,0.9975722432136536,0.9279290713950556,0.9068512453165477,0.9888793230056763
freeze,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_300000.pt,1.2000000476837158,0.9982770681381226,0.9334183136903389,0.9068512453165477,0.9888793230056763
freeze,300000,checkpoints/depth4_matched_freeze_seed_0_from_126200_freeze/step_300000.pt,1.25,0.9987469911575317,0.9383163242744631,0.9068512453165477,0.9888793230056763
