run,depth,regime,event,target_step,selected_checkpoint_step,checkpoint
seed3_adamw_stable,1,adamw,maximum_test_accuracy,11900,12000,checkpoints/seedstudy_adamw_stable_seed_3/step_012000.pt
seed3_adamw_stable,1,adamw,grokking_before,11700,11000,checkpoints/seedstudy_adamw_stable_seed_3/step_011000.pt
seed3_adamw_stable,1,adamw,grokking_after,11700,12000,checkpoints/seedstudy_adamw_stable_seed_3/step_012000.pt
seed3_adamw_stable,1,adamw,minimum_post_grokking_accuracy,99200,99000,checkpoints/seedstudy_adamw_stable_seed_3/step_099000.pt
seed3_adamw_stable,1,adamw,first_post_grokking_below_90_before,99200,99000,checkpoints/seedstudy_adamw_stable_seed_3/step_099000.pt
seed3_adamw_stable,1,adamw,first_post_grokking_below_90_after,99200,100000,checkpoints/seedstudy_adamw_stable_seed_3/step_100000.pt
seed3_adamw_stable,1,adamw,first_99_before,11800,11000,checkpoints/seedstudy_adamw_stable_seed_3/step_011000.pt
seed3_adamw_stable,1,adamw,first_99_after,11800,12000,checkpoints/seedstudy_adamw_stable_seed_3/step_012000.pt
seed4_muon,1,muon,regular_stride,0,0,checkpoints/seedstudy_muon_seed_4/step_000000.pt
seed4_muon,1,muon,regular_stride,25000,25000,checkpoints/seedstudy_muon_seed_4/step_025000.pt
seed4_muon,1,muon,regular_stride,50000,50000,checkpoints/seedstudy_muon_seed_4/step_050000.pt
seed4_muon,1,muon,regular_stride,75000,75000,checkpoints/seedstudy_muon_seed_4/step_075000.pt
seed4_muon,1,muon,regular_stride,100000,100000,checkpoints/seedstudy_muon_seed_4/step_100000.pt
seed4_muon,1,muon,initial,0,0,checkpoints/seedstudy_muon_seed_4/step_000000.pt
seed4_muon,1,muon,final,100000,100000,checkpoints/seedstudy_muon_seed_4/step_100000.pt
seed4_muon,1,muon,maximum_test_accuracy,8700,9000,checkpoints/seedstudy_muon_seed_4/step_009000.pt
seed4_muon,1,muon,grokking_before,5400,5000,checkpoints/seedstudy_muon_seed_4/step_005000.pt
seed4_muon,1,muon,grokking_after,5400,6000,checkpoints/seedstudy_muon_seed_4/step_006000.pt
seed4_muon,1,muon,minimum_post_grokking_accuracy,15500,15000,checkpoints/seedstudy_muon_seed_4/step_015000.pt
seed4_muon,1,muon,first_post_grokking_below_90_before,15500,15000,checkpoints/seedstudy_muon_seed_4/step_015000.pt
seed4_muon,1,muon,first_post_grokking_below_90_after,15500,16000,checkpoints/seedstudy_muon_seed_4/step_016000.pt
seed4_muon,1,muon,first_99_before,5700,5000,checkpoints/seedstudy_muon_seed_4/step_005000.pt
seed4_muon,1,muon,first_99_after,5700,6000,checkpoints/seedstudy_muon_seed_4/step_006000.pt
seed4_stable_muon,1,stable_muon,regular_stride,0,0,checkpoints/seedstudy_stable_muon_seed_4/step_000000.pt
seed4_stable_muon,1,stable_muon,regular_stride,25000,25000,checkpoints/seedstudy_stable_muon_seed_4/step_025000.pt
seed4_stable_muon,1,stable_muon,regular_stride,50000,50000,checkpoints/seedstudy_stable_muon_seed_4/step_050000.pt
seed4_stable_muon,1,stable_muon,regular_stride,75000,75000,checkpoints/seedstudy_stable_muon_seed_4/step_075000.pt
seed4_stable_muon,1,stable_muon,regular_stride,100000,100000,checkpoints/seedstudy_stable_muon_seed_4/step_100000.pt
seed4_stable_muon,1,stable_muon,initial,0,0,checkpoints/seedstudy_stable_muon_seed_4/step_000000.pt
seed4_stable_muon,1,stable_muon,final,100000,100000,checkpoints/seedstudy_stable_muon_seed_4/step_100000.pt
seed4_stable_muon,1,stable_muon,maximum_test_accuracy,13900,14000,checkpoints/seedstudy_stable_muon_seed_4/step_014000.pt
seed4_stable_muon,1,stable_muon,grokking_before,5400,5000,checkpoints/seedstudy_stable_muon_seed_4/step_005000.pt
