Device: cpu
Source checkpoint: followup_studies/work/control_provenance/parity_source.pt
Starting step: 16000
Branch mode: control
Update hidden Muon group: True
Update auxiliary AdamW group: True
Additional steps: 2000
Evaluation interval: 10
Output CSV: followup_studies/work/control_provenance/parity_runs/group_historical/trajectory.csv
step= 17920 | train_acc=1.0000 | test_acc=0.9635 | hidden_delta=217.8321 | aux_delta=1.9520
step= 17930 | train_acc=1.0000 | test_acc=0.9671 | hidden_delta=218.1020 | aux_delta=1.9455
step= 17940 | train_acc=1.0000 | test_acc=0.9702 | hidden_delta=218.3629 | aux_delta=1.9393
step= 17950 | train_acc=1.0000 | test_acc=0.9724 | hidden_delta=218.6176 | aux_delta=1.9334
step= 17960 | train_acc=1.0000 | test_acc=0.9754 | hidden_delta=218.8797 | aux_delta=1.9276
step= 17970 | train_acc=1.0000 | test_acc=0.9785 | hidden_delta=219.1558 | aux_delta=1.9222
step= 17980 | train_acc=1.0000 | test_acc=0.9803 | hidden_delta=219.4385 | aux_delta=1.9169
step= 17990 | train_acc=1.0000 | test_acc=0.9814 | hidden_delta=219.7239 | aux_delta=1.9120
step= 18000 | train_acc=1.0000 | test_acc=0.9845 | hidden_delta=220.0113 | aux_delta=1.9072

Saved branch metrics to: followup_studies/work/control_provenance/parity_runs/group_historical/trajectory.csv
Saved branch checkpoints to: followup_studies/work/control_provenance/parity_runs/group_historical/checkpoints
