Token embedding attribute: token_embedding
Position embedding attribute: position_embedding
Unembedding attribute: unembedding
token_embedding parameters: ['token_embedding.weight']
position_embedding parameters: ['position_embedding.weight']
unembedding parameters: ['unembedding.weight']
other_auxiliary parameters: []
Device: cpu
Source checkpoint: followup_studies/work/control_provenance/parity_source.pt
Starting step: 16000
Branch mode: control
Frozen group: None
Additional steps: 2000
Evaluation interval: 10
Output CSV: followup_studies/work/control_provenance/parity_runs/component/trajectory.csv
step= 17090 | train_acc=1.0000 | test_acc=0.7838 | token_delta=2.8819 | position_delta=0.4259 | unembedding_delta=2.4561
step= 17100 | train_acc=1.0000 | test_acc=0.7885 | token_delta=2.8486 | position_delta=0.4222 | unembedding_delta=2.4310
step= 17110 | train_acc=1.0000 | test_acc=0.7895 | token_delta=2.8158 | position_delta=0.4186 | unembedding_delta=2.4062
step= 17120 | train_acc=1.0000 | test_acc=0.7949 | token_delta=2.7835 | position_delta=0.4150 | unembedding_delta=2.3816
step= 17130 | train_acc=1.0000 | test_acc=0.7966 | token_delta=2.7518 | position_delta=0.4115 | unembedding_delta=2.3572
step= 17140 | train_acc=1.0000 | test_acc=0.7993 | token_delta=2.7205 | position_delta=0.4081 | unembedding_delta=2.3331
step= 17150 | train_acc=1.0000 | test_acc=0.7995 | token_delta=2.6897 | position_delta=0.4048 | unembedding_delta=2.3093
step= 17160 | train_acc=1.0000 | test_acc=0.8017 | token_delta=2.6594 | position_delta=0.4015 | unembedding_delta=2.2856
step= 17170 | train_acc=1.0000 | test_acc=0.8018 | token_delta=2.6296 | position_delta=0.3983 | unembedding_delta=2.2623
step= 17180 | train_acc=1.0000 | test_acc=0.7992 | token_delta=2.6004 | position_delta=0.3951 | unembedding_delta=2.2392
step= 17190 | train_acc=1.0000 | test_acc=0.7979 | token_delta=2.5715 | position_delta=0.3920 | unembedding_delta=2.2163
step= 17200 | train_acc=1.0000 | test_acc=0.7958 | token_delta=2.5432 | position_delta=0.3890 | unembedding_delta=2.1936
step= 17210 | train_acc=1.0000 | test_acc=0.7971 | token_delta=2.5154 | position_delta=0.3861 | unembedding_delta=2.1712
step= 17220 | train_acc=1.0000 | test_acc=0.7955 | token_delta=2.4881 | position_delta=0.3832 | unembedding_delta=2.1490
step= 17230 | train_acc=1.0000 | test_acc=0.7952 | token_delta=2.4612 | position_delta=0.3804 | unembedding_delta=2.1271
step= 17240 | train_acc=1.0000 | test_acc=0.7951 | token_delta=2.4348 | position_delta=0.3776 | unembedding_delta=2.1054
step= 17250 | train_acc=1.0000 | test_acc=0.7934 | token_delta=2.4089 | position_delta=0.3749 | unembedding_delta=2.0839
step= 17260 | train_acc=1.0000 | test_acc=0.7923 | token_delta=2.3835 | position_delta=0.3723 | unembedding_delta=2.0626
step= 17270 | train_acc=1.0000 | test_acc=0.7907 | token_delta=2.3585 | position_delta=0.3697 | unembedding_delta=2.0416
step= 17280 | train_acc=1.0000 | test_acc=0.7890 | token_delta=2.3340 | position_delta=0.3672 | unembedding_delta=2.0207
step= 17290 | train_acc=1.0000 | test_acc=0.7887 | token_delta=2.3100 | position_delta=0.3648 | unembedding_delta=2.0001
step= 17300 | train_acc=1.0000 | test_acc=0.7881 | token_delta=2.2865 | position_delta=0.3624 | unembedding_delta=1.9797
step= 17310 | train_acc=1.0000 | test_acc=0.7870 | token_delta=2.2634 | position_delta=0.3601 | unembedding_delta=1.9595
step= 17320 | train_acc=1.0000 | test_acc=0.7869 | token_delta=2.2408 | position_delta=0.3578 | unembedding_delta=1.9396
step= 17330 | train_acc=1.0000 | test_acc=0.7867 | token_delta=2.2186 | position_delta=0.3556 | unembedding_delta=1.9198
step= 17340 | train_acc=1.0000 | test_acc=0.7866 | token_delta=2.1969 | position_delta=0.3534 | unembedding_delta=1.9002
step= 17350 | train_acc=1.0000 | test_acc=0.7868 | token_delta=2.1756 | position_delta=0.3514 | unembedding_delta=1.8809
step= 17360 | train_acc=1.0000 | test_acc=0.7862 | token_delta=2.1548 | position_delta=0.3493 | unembedding_delta=1.8617
step= 17370 | train_acc=1.0000 | test_acc=0.7852 | token_delta=2.1345 | position_delta=0.3474 | unembedding_delta=1.8428
step= 17380 | train_acc=1.0000 | test_acc=0.7850 | token_delta=2.1146 | position_delta=0.3454 | unembedding_delta=1.8241
step= 17390 | train_acc=1.0000 | test_acc=0.7844 | token_delta=2.0951 | position_delta=0.3436 | unembedding_delta=1.8055
step= 17400 | train_acc=1.0000 | test_acc=0.7827 | token_delta=2.0761 | position_delta=0.3418 | unembedding_delta=1.7872
step= 17410 | train_acc=1.0000 | test_acc=0.7829 | token_delta=2.0575 | position_delta=0.3400 | unembedding_delta=1.7690
step= 17420 | train_acc=1.0000 | test_acc=0.7827 | token_delta=2.0394 | position_delta=0.3383 | unembedding_delta=1.7510
step= 17430 | train_acc=1.0000 | test_acc=0.7820 | token_delta=2.0217 | position_delta=0.3367 | unembedding_delta=1.7333
step= 17440 | train_acc=1.0000 | test_acc=0.7827 | token_delta=2.0044 | position_delta=0.3351 | unembedding_delta=1.7157
step= 17450 | train_acc=1.0000 | test_acc=0.7832 | token_delta=1.9876 | position_delta=0.3335 | unembedding_delta=1.6983
step= 17460 | train_acc=1.0000 | test_acc=0.7847 | token_delta=1.9712 | position_delta=0.3320 | unembedding_delta=1.6811
step= 17470 | train_acc=1.0000 | test_acc=0.7852 | token_delta=1.9552 | position_delta=0.3306 | unembedding_delta=1.6640
step= 17480 | train_acc=1.0000 | test_acc=0.7857 | token_delta=1.9396 | position_delta=0.3292 | unembedding_delta=1.6472
step= 17490 | train_acc=1.0000 | test_acc=0.7863 | token_delta=1.9245 | position_delta=0.3278 | unembedding_delta=1.6305
step= 17500 | train_acc=1.0000 | test_acc=0.7874 | token_delta=1.9097 | position_delta=0.3265 | unembedding_delta=1.6140
step= 17510 | train_acc=1.0000 | test_acc=0.7885 | token_delta=1.8954 | position_delta=0.3252 | unembedding_delta=1.5977
step= 17520 | train_acc=1.0000 | test_acc=0.7901 | token_delta=1.8815 | position_delta=0.3240 | unembedding_delta=1.5816
step= 17530 | train_acc=1.0000 | test_acc=0.7919 | token_delta=1.8680 | position_delta=0.3229 | unembedding_delta=1.5656
step= 17540 | train_acc=1.0000 | test_acc=0.7942 | token_delta=1.8548 | position_delta=0.3217 | unembedding_delta=1.5498
step= 17550 | train_acc=1.0000 | test_acc=0.7958 | token_delta=1.8421 | position_delta=0.3207 | unembedding_delta=1.5342
step= 17560 | train_acc=1.0000 | test_acc=0.7968 | token_delta=1.8298 | position_delta=0.3196 | unembedding_delta=1.5187
step= 17570 | train_acc=1.0000 | test_acc=0.7994 | token_delta=1.8179 | position_delta=0.3186 | unembedding_delta=1.5034
step= 17580 | train_acc=1.0000 | test_acc=0.8017 | token_delta=1.8063 | position_delta=0.3177 | unembedding_delta=1.4883
step= 17590 | train_acc=1.0000 | test_acc=0.8041 | token_delta=1.7951 | position_delta=0.3168 | unembedding_delta=1.4734
step= 17600 | train_acc=1.0000 | test_acc=0.8065 | token_delta=1.7843 | position_delta=0.3159 | unembedding_delta=1.4586
step= 17610 | train_acc=1.0000 | test_acc=0.8085 | token_delta=1.7739 | position_delta=0.3150 | unembedding_delta=1.4439
step= 17620 | train_acc=1.0000 | test_acc=0.8111 | token_delta=1.7639 | position_delta=0.3142 | unembedding_delta=1.4295
step= 17630 | train_acc=1.0000 | test_acc=0.8150 | token_delta=1.7542 | position_delta=0.3135 | unembedding_delta=1.4152
step= 17640 | train_acc=1.0000 | test_acc=0.8177 | token_delta=1.7448 | position_delta=0.3128 | unembedding_delta=1.4010
step= 17650 | train_acc=1.0000 | test_acc=0.8211 | token_delta=1.7359 | position_delta=0.3121 | unembedding_delta=1.3870
