seed,pair,endpoint,step,condition,split,n,correct,accuracy,uniform_tie_expected_accuracy,tied_maximum_rows,positive_margin_rows,minimum_margin,mean_margin
2,seed2_adjacent_event,1,18069,raw,full_grid,12769,121,0.009476074868822931,0.009476074868822931,0,121,-69.03101625934164,-19.466085457500416
2,seed2_adjacent_event,1,18069,complete_family_with_dc,training,3830,34,0.008877284595300261,0.008877284595300261,0,34,-57.922646860850705,-19.44466268295635
2,seed2_adjacent_event,1,18069,complete_family_with_dc,heldout,8939,79,0.008837677592571876,0.008837677592571876,0,79,-57.922646860850705,-19.465456071699975
2,seed2_adjacent_event,1,18069,complete_family_with_dc,full_grid,12769,113,0.008849557522123894,0.008849557522123894,0,113,-57.922646860850705,-19.459219194976026
2,seed2_adjacent_event,1,18069,training_donors_only,training,3830,34,0.008877284595300261,0.008877284595300261,0,34,-56.38429265488196,-17.499526730037946
2,seed2_adjacent_event,1,18069,training_donors_only,heldout,8939,79,0.008837677592571876,0.008837677592571876,0,79,-56.38429265488196,-17.468158922831233
2,seed2_adjacent_event,1,18069,training_donors_only,full_grid,12769,113,0.008849557522123894,0.008849557522123894,0,113,-56.38429265488196,-17.477567545401655
2,seed2_adjacent_event,1,18069,heldout_donors_only,training,3830,34,0.008877284595300261,0.008877284595300261,0,34,-58.671582461125354,-20.288406691832854
2,seed2_adjacent_event,1,18069,heldout_donors_only,heldout,8939,79,0.008837677592571876,0.008837677592571876,0,79,-58.671582461125354,-20.298868164739154
2,seed2_adjacent_event,1,18069,heldout_donors_only,full_grid,12769,113,0.008849557522123894,0.008849557522123894,0,113,-58.671582461125354,-20.29573029636801
2,seed2_adjacent_event,1,18069,heldout_donors_leave_one_out,training,3830,34,0.008877284595300261,0.008877284595300261,0,34,-58.671582461125354,-20.288406691832854
2,seed2_adjacent_event,1,18069,heldout_donors_leave_one_out,heldout,8939,79,0.008837677592571876,0.008837677592571876,0,79,-58.8001412031615,-20.298868164739154
2,seed2_adjacent_event,1,18069,heldout_donors_leave_one_out,full_grid,12769,113,0.008849557522123894,0.008849557522123894,0,113,-58.8001412031615,-20.295730296368014
3,seed3_adjacent_event,0,16307,raw,training,3830,3792,0.9900783289817232,0.9900783289817232,0,3792,-54.15349119798668,16.864089190112423
3,seed3_adjacent_event,0,16307,raw,heldout,8939,8004,0.8954021702651304,0.8954021702651304,0,8004,-61.68962295933159,9.684499502701604
3,seed3_adjacent_event,0,16307,raw,full_grid,12769,11796,0.9237998277077296,0.9237998277077296,0,11796,-61.68962295933159,11.837982821895233
3,seed3_adjacent_event,0,16307,complete_family_with_dc,training,3830,3796,0.9911227154046998,0.9911227154046998,0,3796,-36.39072563889647,17.886078705010853
3,seed3_adjacent_event,0,16307,complete_family_with_dc,heldout,8939,8860,0.9911623224074281,0.9911623224074281,0,8860,-36.39072563889647,17.654713438018575
3,seed3_adjacent_event,0,16307,complete_family_with_dc,full_grid,12769,12656,0.9911504424778761,0.9911504424778761,0,12656,-36.39072563889647,17.724110334610355
3,seed3_adjacent_event,0,16307,training_donors_only,training,3830,3796,0.9911227154046998,0.9911227154046998,0,3796,-36.15882085405235,21.695472070042662
3,seed3_adjacent_event,0,16307,training_donors_only,heldout,8939,8860,0.9911623224074281,0.9911623224074281,0,8860,-36.15882085405235,21.606775242891956
