seed,frequency,heldout_correct,heldout_n,minimum_margin
3,53,8939,8939,2.73534751533272e-05
3,54,8939,8939,2.735347515332026e-05
3,55,8939,8939,2.735347515332373e-05
3,56,8939,8939,2.735347515332373e-05
4,1,8939,8939,2.735347515332373e-05
4,2,8939,8939,2.735347515332373e-05
4,3,8939,8939,2.735347515332026e-05
4,4,8939,8939,2.735347515332026e-05
4,5,8939,8939,2.735347515332026e-05
4,6,8939,8939,2.735347515332026e-05
4,7,8939,8939,2.735347515332026e-05
4,8,8939,8939,2.73534751533272e-05
4,9,8939,8939,2.735347515332373e-05
4,10,8939,8939,2.735347515332373e-05
4,11,8939,8939,2.7353475153309853e-05
4,12,8939,8939,2.735347515332373e-05
4,13,8939,8939,2.73534751533272e-05
4,14,8939,8939,2.735347515332026e-05
4,15,8939,8939,2.735347515332373e-05
4,16,8939,8939,2.735347515332026e-05
4,17,8939,8939,2.735347515332373e-05
4,18,8939,8939,2.735347515332373e-05
4,19,8939,8939,2.735347515332026e-05
4,20,8939,8939,2.7353475153316792e-05
4,21,8939,8939,2.73534751533272e-05
4,22,8939,8939,2.735347515332026e-05
4,23,8939,8939,2.7353475153313322e-05
4,24,8939,8939,2.735347515332026e-05
4,25,8939,8939,2.735347515332026e-05
4,26,8939,8939,2.735347515332373e-05
4,27,8939,8939,2.735347515332373e-05
4,28,8939,8939,2.735347515332373e-05
4,29,8939,8939,2.7353475153316792e-05
4,30,8939,8939,2.735347515333067e-05
4,31,8939,8939,2.73534751533272e-05
4,32,8939,8939,2.735347515332373e-05
4,33,8939,8939,2.735347515332026e-05
4,34,8939,8939,2.735347515332373e-05
4,35,8939,8939,2.735347515332373e-05
4,36,8939,8939,2.7353475153316792e-05
